Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
9/6/23,56.7,56.7,54.8,55.4,68,200809,11085171.7
9/5/23,55,56.8,54.5,56.5,103,481481,26905799.6
9/4/23,55,55.8,54.2,55,67,179439,9834029.6
9/1/23,54.9,55.5,54.9,55,68,265658,14595323.9
8/31/23,55.5,55.5,54.5,55,90,483209,26571466.5
8/29/23,56,56,54.5,55,55,166784,9174762.2
8/28/23,56.9,57,55,55.3,85,181762,10096302
8/25/23,55.1,56.9,55,56.5,117,740315,41457731.8
8/24/23,55,56.9,55,56,109,535935,29914328.6
8/23/23,55,56,55,55.7,94,194145,10812963.7
8/22/23,54.1,55.3,53.4,55,61,209514,11492346.5
8/21/23,54.1,54.9,53,54.1,103,202229,10847886.9
8/18/23,55.5,55.5,54,54.1,76,194446,10508701.5
8/17/23,57,57,54,54.9,85,155929,8586720.6
8/16/23,55.4,57,55.4,56.9,76,176618,9946591.7
8/15/23,56.9,56.9,55.4,55.6,55,187657,10420376.9
8/14/23,55.6,57.2,55.5,55.8,89,356229,19850835.3
8/11/23,57.5,57.5,56,56,36,73678,4137568.1
8/10/23,57.8,57.9,56.5,57.1,59,178970,10211482.6
8/9/23,58.3,58.5,56.5,57,165,404291,23195081.2
8/8/23,56,58.5,55.5,58,444,2181150,124966407.7
8/7/23,54.5,56.6,54.2,56.2,338,1246500,69141215.6
8/4/23,54.7,55,54,54.2,72,138666,7495835.1
8/3/23,55,55.4,54,54.4,108,773240,42150478.4
8/2/23,56,56,54.8,55,87,318667,17599160
7/31/23,56.1,56.1,55,56,75,298016,16508915.5
7/28/23,55.7,56.2,55,56,165,808892,45235020.1
7/27/23,53.7,55.7,53.5,55.3,157,358690,19477862.3
7/26/23,54.6,55.1,53.7,54.1,89,90859,4945199.8
7/25/23,55.1,55.1,54,54.8,238,443868,24202186.6
7/24/23,57,57,54.7,55.1,538,2395439,133047712.9
7/21/23,56.1,59.8,56.1,59.6,640,2685113,157567444.9
7/20/23,55.2,56.4,55,56.1,149,377969,20982782.7
7/19/23,56,56,55,55.1,124,268281,14814659.3
7/18/23,56.9,56.9,55.8,56,131,474123,26645790.9
7/17/23,56,57.4,56,56.8,149,172513,9807893.1
7/14/23,55,57.2,54.8,56.9,170,596957,33511156.3
7/13/23,55,56,54.8,55,104,279053,15348225.6
7/12/23,55.8,56,55,55.3,118,301898,16790226
7/11/23,56,56.4,55,55.4,123,288388,15941226.3
7/10/23,56,56.7,55,56,157,442214,24696174.5
7/7/23,57.2,57.2,55.8,56,110,295870,16743158.5
7/6/23,55.9,57.4,55.8,56.9,292,769537,43679606.5
7/5/23,53.8,55.9,53.8,55.1,208,515705,28319458.3
7/4/23,54.7,55,53.6,54.1,137,213457,11561843.4
6/28/23,54.6,55.5,54,55.1,150,297767,16391595
6/27/23,54.9,54.9,53.5,54.4,69,110345,5975996.2
6/26/23,54.1,55,52.5,54.4,95,112897,6119087.3
6/23/23,54.5,55,53.9,54.1,101,183087,9950869.1
6/22/23,54.4,56,54.4,54.8,258,518988,28668174.7
6/21/23,52.5,54.7,52.5,54.1,281,923104,49541155.2
6/20/23,52.3,53.8,52.1,52.5,202,294986,15666414.1
6/19/23,51.8,52.5,50.1,52.1,149,434808,22528138
6/16/23,51,52,49.8,51.9,70,100932,5157122.1
6/15/23,51.9,52,49,51,114,205280,10401227.2
6/14/23,49.4,52.5,49,51.5,316,554050,28365426.5
6/13/23,48,49.5,48,49,240,565510,27576231
6/12/23,45.6,48.5,45.3,47.9,180,383017,18114254.4
6/9/23,45,45.5,44.8,45.4,91,363907,16449502.5
6/8/23,45.2,45.3,44.8,44.9,26,75832,3406097.2
6/7/23,44.8,45.7,44.3,45,94,261364,11749410.2
6/6/23,45.8,45.8,44.8,45.1,54,110980,4989063.9
6/5/23,45,45.8,44.7,45.5,44,115198,5204234.9
6/2/23,44.9,45.8,44.6,44.9,64,162256,7300088.1
6/1/23,43.9,44.9,43.8,44.2,130,384949,16948027.3
5/31/23,42.9,43.5,42,43.1,47,94120,4030758.9
5/30/23,43,43,41.5,42.5,49,58364,2444315.3
5/29/23,43.1,43.5,42.1,42.2,79,79624,3379824
5/26/23,44.4,44.4,43,43,64,22057,951567.8
5/25/23,45,45,43.7,44,152,143383,6368656.1
5/24/23,42.5,44.5,42.5,44,96,128393,5649528.3
5/23/23,40.5,42,39.2,41.6,121,239929,9720156.2
5/22/23,43,43.1,40,40.4,170,140864,5726697.5
5/19/23,43.8,43.8,42.4,43.1,51,70156,3015674.7
5/18/23,44.5,44.5,43,43.1,76,56212,2437211.1
5/17/23,44,44.5,43.7,44,46,57818,2550499.5
5/16/23,45.1,45.1,43.5,44.1,145,100858,4441308.9
5/15/23,46,46,44.9,45.1,65,34867,1573960.7
5/12/23,46,46,45,45.1,91,66617,3016290.8
5/11/23,46,46.7,46,46,32,8707,401571.2
5/10/23,46.5,46.9,45.8,46,50,68525,3150084.4
5/9/23,46.9,47,45.8,46.4,89,89165,4131401.9
5/8/23,46.1,47,46.1,46.3,41,77892,3623059.6
5/4/23,46.5,47,46,46.2,37,21772,1007297.1
5/3/23,46.7,48.5,46,46.7,46,35589,1655706.5
5/2/23,48.6,48.6,46.6,46.7,66,30244,1417777.3
4/28/23,48,48,47.3,48,47,51604,2462171.1
4/27/23,47.6,48,46.6,48,67,59583,2825189
4/26/23,48,48,47.5,47.7,93,40653,1946664.5
4/25/23,49.5,49.5,47.9,48,139,63735,3073867.7
4/24/23,49.9,50,49.4,49.5,24,7723,385125.4
4/21/23,49.6,50,49.3,49.9,37,20633,1022029.1
4/20/23,49.6,50,49.5,50,37,33569,1666455.8
4/19/23,50,50,49.7,49.8,54,110413,5517683
